City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
3,Shingu,JP,62.15,light rain,33.7333,135.9833,Shingu UI Hotel
4,Garmsar,IR,73.49,few clouds,35.2182,52.3409,مجتمع مرصاد
5,Hermanus,ZA,65.8,overcast clouds,-34.4187,19.2345,Misty Waves Boutique Hotel
6,Khash,IR,75.97,clear sky,28.2211,61.2158,خوابگاه آبجی محدثه
7,Lucapa,AO,74.91,overcast clouds,-8.4192,20.7447,Residência Ulisses Dos Santos
8,Marsa Matruh,EG,65.3,clear sky,31.3525,27.2453,Beau Site
9,Yuncheng,CN,62.49,overcast clouds,35.0231,110.9928,晋州快捷酒店
12,Port Alfred,ZA,67.78,overcast clouds,-33.5906,26.891,The Halyards Hotel
20,Jamestown,US,74.84,clear sky,42.097,-79.2353,Hampton Inn & Suites Jamestown
22,Quang Ngai,VN,76.37,scattered clouds,15.1167,108.8,Central Hotel
25,East London,ZA,65.88,overcast clouds,-33.0153,27.9116,Tu Casa
31,Canaries,ES,69.76,clear sky,28.0,-15.5,Villa del Monte
32,Virginia Beach,US,61.05,overcast clouds,36.8529,-75.978,Hilton Virginia Beach Oceanfront
35,Rreshen,AL,63.68,scattered clouds,41.7675,19.8756,KTHELLA Resort
36,Watertown,US,65.79,clear sky,42.3709,-71.1828,16 Washburn Street Watertown MA
40,Rikitea,PF,76.78,clear sky,-23.1203,-134.9692,People ThankYou
49,Adeje,ES,76.32,broken clouds,28.1227,-16.726,Gran Tacande Wellness & Relax
50,Bambous Virieux,MU,76.21,scattered clouds,-20.3428,57.7575,Casa Tia Villa
52,Bredasdorp,ZA,60.78,broken clouds,-34.5322,20.0403,Bredasdorp Country Manor
58,Kitgum,UG,70.79,few clouds,3.2783,32.8867,Jaflo Gardens Hotel
62,Pacific Grove,US,60.48,scattered clouds,36.6177,-121.9166,Lovers Point Inn
63,Chuy,UY,64.74,moderate rain,-33.6971,-53.4616,Nuevo Hotel Plaza
66,Carnarvon,AU,69.87,overcast clouds,-24.8667,113.6333,Hospitality Carnarvon
67,Ribeira Grande,PT,66.6,scattered clouds,38.5167,-28.7,Quinta da Meia Eira
68,Port Elizabeth,ZA,62.31,overcast clouds,-33.918,25.5701,39 On Nile Guest House
69,Cabra,ES,65.19,scattered clouds,37.4725,-4.4421,MS Fuente Las Piedras
71,Cape Town,ZA,62.11,moderate rain,-33.9258,18.4232,"Radisson Blu Hotel Waterfront, Cape Town"
73,Dingle,PH,77.45,overcast clouds,10.9995,122.6711,SEGAYA PROPERTY
76,Kongolo,CD,75.07,broken clouds,-5.3833,27.0,GUEST HOUSE OASIS
82,Ondarroa,ES,62.89,scattered clouds,43.3167,-2.4167,Hotel Arbe
85,Broome,US,75.69,clear sky,42.2506,-75.833,Chenango Valley State Park
90,Namibe,AO,74.75,clear sky,-15.1961,12.1522,Hotel Chik Chik Namibe
100,Zhanakorgan,KZ,66.42,clear sky,43.9098,67.2495,"""Ақпалас"" қонақ үйі"
103,Mahebourg,MU,76.24,scattered clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
110,Gueret,FR,61.59,clear sky,46.1667,1.8667,Hôtel Restaurant Campanile Guéret
111,Korla,CN,75.78,broken clouds,41.7597,86.1469,Gulisitan Hotel
117,Rodez,FR,70.11,clear sky,44.5,2.5833,L'Auberge du Château
118,Angol,CL,66.47,overcast clouds,-37.8,-72.7167,Hostal Gina
119,Uporovo,RU,61.2,overcast clouds,56.3109,66.2693,"Gostinitsa ""Aristokrat"""
124,Roebourne,AU,72.9,broken clouds,-20.7833,117.1333,Latitude20 Roebourne Village
128,Neuquen,AR,62.49,clear sky,-38.9516,-68.0591,Hotel del Comahue
134,General Pico,AR,73.31,overcast clouds,-35.6566,-63.7568,Euskadi Hotel
135,Jalu,LY,76.37,scattered clouds,29.0331,21.5482,صاحبة الفخامة
137,Ruteng,ID,61.02,overcast clouds,-8.6136,120.4721,Hotel FX 72
138,Ponta Do Sol,PT,77.63,scattered clouds,32.6667,-17.1,Hotel do Campo
139,Cidreira,BR,63.27,moderate rain,-30.1811,-50.2056,Hotel Castelo
140,Linhai,CN,64.92,light rain,28.85,121.1167,Linhai S&N International Hotel
143,Kruisfontein,ZA,61.74,scattered clouds,-34.0033,24.7314,Oyster Bay House Rental
144,Kununurra,AU,60.78,clear sky,-15.7667,128.7333,Hotel Kununurra
145,Castro,BR,69.84,scattered clouds,-24.7911,-50.0119,CHACARA BAILLY
146,Riviere-Au-Renard,CA,64.69,overcast clouds,48.9957,-64.3971,Auberge Le Caribou
147,Chikwawa,MW,69.78,few clouds,-16.0335,34.8009,Thawale Lodge
148,Paita,PE,72.25,overcast clouds,-5.0892,-81.1144,Hotel Náutico de Paita
151,Arraial Do Cabo,BR,75.16,broken clouds,-22.9661,-42.0278,Pousada Porto Praia
152,San Luis,AR,72.9,broken clouds,-33.295,-66.3356,Huarpes Hotel
158,Laguna,US,62.94,scattered clouds,38.421,-121.4238,"Holiday Inn Express & Suites Elk Grove Central - Hwy 99, an IHG Hotel"
160,Tanete,ID,74.86,overcast clouds,-3.9443,119.7848,Wisma Tri Multi
163,Constitucion,CL,62.64,overcast clouds,-35.3333,-72.4167,Hotel Boutique Las Azucenas
166,Nouadhibou,MR,67.98,dust,20.931,-17.0347,El Medina
167,Sioux Lookout,CA,64.15,few clouds,50.1001,-91.917,Knobby's Fly-In Camps
168,Tura,IN,70.66,broken clouds,25.5198,90.2201,Hotel RIKMAN Continental
170,Mayo,US,75.31,clear sky,38.8876,-76.5119,Resorts Resource Group International
171,Grand Gaube,MU,76.37,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
173,Colares,PT,76.19,clear sky,38.7992,-9.4469,Arribas Sintra Hotel
174,Port Hedland,AU,62.65,few clouds,-20.3167,118.5667,The Esplanade Hotel
178,Asfi,MA,69.24,broken clouds,32.2994,-9.2372,Hôtel Abda
182,Esperance,AU,63.82,clear sky,-33.8667,121.9,Hospitality Esperance
185,Shymkent,KZ,64.99,scattered clouds,42.3,69.6,Orbita Boutique Hotel
187,Naze,JP,67.12,overcast clouds,28.3667,129.4833,Shishime Hotel
188,Geraldton,AU,63.01,broken clouds,-28.7667,114.6,Broadwater Mariner Resort
190,Fountain,US,72.57,clear sky,38.6822,-104.7008,Colorado Springs KOA Holiday
196,La Tuque,CA,77.25,few clouds,47.4334,-72.7824,Appart-Hôtel La Tuque
199,Touros,BR,76.86,overcast clouds,-5.1989,-35.4608,INN NEW HORIZON
202,Pokhara,NP,71.19,overcast clouds,28.2333,83.9833,OYO 170 Hotel View Point
206,Sayyan,YE,68.59,overcast clouds,15.1718,44.3244,ملاطف ابوحورية
210,Sucua,EC,72.34,light rain,-2.4667,-78.1667,Finca el Piura
213,Qianjiang,CN,60.57,broken clouds,30.4151,112.8859,Shell Qianjiang City Qianjiang bus station Hotel
216,Richards Bay,ZA,64.89,clear sky,-28.783,32.0377,BON Hotel Waterfront Richards Bay
219,Saint-Francois,FR,74.64,clear sky,46.4154,3.9054,Manoir Du Bonheur
222,Pisco,PE,66.02,mist,-13.7,-76.2167,Hotel San Isidro Oficial
224,San Cristobal,VE,77.18,overcast clouds,7.7669,-72.225,Pirineos
226,Lardos,GR,62.94,clear sky,36.0942,28.0157,Lindos Princess Beach Hotel
231,Ibanda,TZ,68.76,broken clouds,-2.7974,32.4746,Lahe Hotel Mwanza
235,Bitung,ID,76.05,overcast clouds,1.4451,125.1824,K2 Lembeh
239,Rawlins,US,60.69,clear sky,41.7911,-107.2387,"Holiday Inn Express Rawlins, an IHG Hotel"
241,Rabo De Peixe,PT,65.71,few clouds,37.8,-25.5833,Quinta das Giestas
242,Cap Malheureux,MU,76.46,few clouds,-19.9842,57.6142,Pereybere Hotel & Spa
249,Lons-Le-Saunier,FR,65.52,overcast clouds,46.75,5.75,"Gîte ""La cabane du berger"""
253,Sechura,PE,77.97,scattered clouds,-5.5569,-80.8222,Hospedaje Costa Bella
255,High Rock,BS,77.02,few clouds,26.6208,-78.2833,Hideaway Bahamas Beach Club
260,Katobu,ID,74.57,overcast clouds,-4.9408,122.5276,La Ode Husein
262,Muroto,JP,67.05,overcast clouds,33.2833,134.15,Oota Ryokan
266,Coroico,BO,66.96,broken clouds,-16.1889,-67.7271,Villa Saracena
270,Ayolas,PY,70.11,clear sky,-27.4,-56.9,Hotel Ayolas
273,Le Mars,US,76.86,broken clouds,42.7942,-96.1656,"Holiday Inn Express & Suites Le Mars, an IHG Hotel"
274,Chicama,PE,64.94,clear sky,-7.8447,-79.1469,Balihai Bungalows
275,Awjilah,LY,75.24,scattered clouds,29.1081,21.2869,المنزل
276,Ferrol,ES,63.36,few clouds,43.4832,-8.2369,Hotel Spa Sercotel Odeón
277,Saint-Vallier,FR,68.72,few clouds,46.6411,4.3711,New Konine - Hôtel Restaurant
278,Nueve De Julio,AR,69.15,overcast clouds,-35.4444,-60.8831,Grand Hotel Libertad - GHL
283,Shelburne,CA,73.85,overcast clouds,44.0787,-80.2041,The Retreat at the Farm
286,Halifax,CA,62.49,few clouds,44.6453,-63.5724,Hotel Halifax and Hotel Barrington
287,Ilhabela,BR,72.88,clear sky,-23.7781,-45.3581,Ilha Flat Hotel
288,Banjar,ID,77.94,broken clouds,-8.19,114.9675,The Hamsa Resort
289,Katherine,AU,73.72,broken clouds,-14.4667,132.2667,Pine Tree Motel
292,Luang Prabang,LA,73.49,moderate rain,19.8856,102.1347,The Apsara
297,Mogok,MM,65.08,moderate rain,22.9167,96.5,MOGOK HILL HOTEL
299,Santona,ES,62.91,few clouds,43.4439,-3.4576,Playamar
303,Sao Filipe,CV,72.81,clear sky,14.8961,-24.4956,Hotel Xaguate
306,Spearfish,US,66.81,clear sky,44.4908,-103.8594,Travelodge by Wyndham Spearfish
310,Karpathos,GR,62.56,clear sky,35.507,27.2132,Alex
311,Imbituba,BR,74.86,light rain,-28.24,-48.6703,Praia Hotel Imbituba
