City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Arraial Do Cabo,BR,-22.9661,-42.0278,76.96,57,0,9.22,clear sky
1,Hithadhoo,MV,-0.6,73.0833,84.61,77,39,20.02,scattered clouds
2,Menongue,AO,-14.6585,17.691,63.14,54,2,4.94,clear sky
3,Dingle,PH,10.9995,122.6711,77.54,89,100,7.49,overcast clouds
4,Cape Town,ZA,-33.9258,18.4232,57.61,83,0,4.61,clear sky
5,Rafai,CF,4.95,23.9167,72.66,90,100,6.76,light rain
6,Georgiyevskoye,RU,58.731,45.024,33.76,99,100,13.22,light snow
7,Victoria,HK,22.2855,114.1577,77.38,90,100,13.0,light rain
8,Punta Arenas,CL,-53.15,-70.9167,48.31,76,20,29.93,few clouds
9,Ovalle,CL,-30.5983,-71.2003,78.66,29,6,4.97,clear sky
10,Hermanus,ZA,-34.4187,19.2345,59.02,74,82,8.61,broken clouds
11,Mago,RU,53.2514,140.1822,32.67,96,100,2.08,overcast clouds
12,Longyearbyen,SJ,78.2186,15.6401,17.44,62,40,12.66,scattered clouds
13,Aberdeen,GB,57.1437,-2.0981,55.65,84,100,32.21,overcast clouds
14,Clyde River,CA,70.4692,-68.5914,23.23,86,100,19.57,light snow
15,Ushuaia,AR,-54.8,-68.3,46.02,81,40,23.02,scattered clouds
16,Washington,US,47.5001,-120.5015,56.79,33,100,7.96,overcast clouds
17,Vila Do Maio,CV,15.1333,-23.2167,77.79,83,30,11.36,scattered clouds
18,Utete,TZ,-7.986,38.758,72.5,96,36,3.85,scattered clouds
19,Saint Anthony,US,45.0205,-93.218,74.05,75,100,23.02,overcast clouds
20,New Norfolk,AU,-42.7826,147.0587,44.1,81,28,3.15,scattered clouds
21,Yulara,AU,-25.2406,130.9889,48.04,49,0,9.22,clear sky
22,Mahibadhoo,MV,3.7833,72.9667,84.18,78,100,19.51,overcast clouds
23,Lagoa,PT,39.05,-27.9833,63.77,73,26,4.47,scattered clouds
24,Lebu,CL,-37.6167,-73.65,56.93,81,79,12.75,broken clouds
25,Port Elizabeth,ZA,-33.918,25.5701,61.32,89,0,4.61,clear sky
26,Trinidad,BO,-14.8333,-64.9,91.38,52,20,5.75,few clouds
27,Busselton,AU,-33.65,115.3333,55.62,88,7,2.82,clear sky
28,Zhigansk,RU,66.7697,123.3711,6.69,92,12,8.39,few clouds
29,Rikitea,PF,-23.1203,-134.9692,76.17,67,26,11.77,scattered clouds
30,Norman Wells,CA,65.282,-126.8329,39.24,48,20,16.11,few clouds
31,Codrington,AU,-38.2667,141.9667,45.03,80,9,5.97,clear sky
32,Aksarka,RU,66.5606,67.7975,31.98,97,100,10.36,overcast clouds
33,Ca Mau,VN,9.1769,105.15,79.16,90,100,3.36,overcast clouds
34,Upernavik,GL,72.7868,-56.1549,27.5,71,100,1.79,overcast clouds
35,Upata,VE,8.0086,-62.3989,88.2,40,69,6.6,broken clouds
36,Touros,BR,-5.1989,-35.4608,79.65,83,21,14.99,few clouds
37,Torbay,CA,47.6666,-52.7314,47.88,51,20,12.66,few clouds
38,Malko Tarnovo,BG,41.9833,27.5333,41.97,90,0,1.01,clear sky
39,Atuona,PF,-9.8,-139.0333,78.84,79,15,15.57,few clouds
40,Bredasdorp,ZA,-34.5322,20.0403,54.46,80,37,4.81,scattered clouds
41,Chicama,PE,-7.8447,-79.1469,63.14,64,20,10.83,few clouds
42,Thompson,CA,55.7435,-97.8558,55.56,58,100,4.61,overcast clouds
43,Teguise,ES,29.0605,-13.564,71.82,60,0,19.57,clear sky
44,Yellowknife,CA,62.456,-114.3525,25.32,63,100,26.46,light snow
45,Vikhorevka,RU,56.1201,101.1636,29.79,66,84,3.09,broken clouds
46,Aklavik,CA,68.2191,-135.0107,38.25,80,100,11.72,overcast clouds
47,Vung Tau,VN,10.346,107.0843,81.93,83,100,12.59,light rain
48,Rorvik,NO,64.8621,11.2373,48.31,76,75,6.91,light rain
49,Tuktoyaktuk,CA,69.4541,-133.0374,37.4,70,75,14.97,broken clouds
50,Port Blair,IN,11.6667,92.75,82.44,89,40,4.61,mist
51,Aranjuez,ES,40.0311,-3.6025,81.88,40,25,2.89,scattered clouds
52,Mufulira,ZM,-12.5498,28.2407,67.05,58,86,5.28,overcast clouds
53,Vestmannaeyjar,IS,63.4427,-20.2734,47.39,87,75,8.05,broken clouds
54,Tiksi,RU,71.6872,128.8694,9.21,90,60,11.99,broken clouds
55,Cayenne,GF,4.9333,-52.3333,85.08,1,40,13.8,scattered clouds
56,Ardesen,TR,41.1911,40.9875,54.54,84,94,3.24,overcast clouds
57,Ilulissat,GL,69.2167,-51.1,27.23,92,100,5.75,light snow
58,Goderich,CA,43.7501,-81.7165,70.12,26,62,12.66,broken clouds
59,Rabo De Peixe,PT,37.8,-25.5833,63.91,72,40,6.91,scattered clouds
60,Coromandel,BR,-18.4733,-47.2003,76.08,49,97,3.69,overcast clouds
61,Ribeira Grande,PT,38.5167,-28.7,66.6,77,40,6.91,scattered clouds
62,Trairi,BR,-3.2778,-39.2689,79.99,85,100,4.16,overcast clouds
63,Bubaque,GW,11.2833,-15.8333,78.06,81,78,14.61,broken clouds
64,Valparaiso,CL,-33.0393,-71.6273,75.43,46,0,16.11,clear sky
65,Skibbereen,IE,51.55,-9.2667,55.11,88,100,16.87,overcast clouds
66,Afonso Claudio,BR,-20.0742,-41.1239,70.21,75,100,4.79,overcast clouds
67,Troitskoye,RU,52.9821,84.6757,42.37,46,0,7.7,clear sky
68,Ampanihy,MG,-24.7,44.75,67.03,91,1,6.35,clear sky
69,Carnarvon,AU,-24.8667,113.6333,68.07,73,100,4.61,overcast clouds
70,Jamestown,US,42.097,-79.2353,73.53,21,0,10.36,clear sky
71,Port Augusta,AU,-32.5,137.7667,52.48,58,100,5.17,overcast clouds
72,Tasiilaq,GL,65.6145,-37.6368,35.51,62,92,6.49,overcast clouds
73,Castro,BR,-24.7911,-50.0119,68.81,64,68,1.32,broken clouds
74,Cabo San Lucas,MX,22.8909,-109.9124,88.61,55,6,9.1,clear sky
75,Severnyy,RU,50.677,36.5532,46.44,39,0,4.47,clear sky
76,Albany,US,42.6001,-73.9662,73.44,20,0,3.0,clear sky
77,Chuy,UY,-33.6971,-53.4616,68.54,67,86,6.53,overcast clouds
78,Rocha,UY,-34.4833,-54.3333,68.34,60,86,5.88,overcast clouds
79,Chegutu,ZW,-18.1302,30.1407,67.91,47,53,4.38,broken clouds
80,Dobre Miasto,PL,53.9867,20.3975,44.19,63,15,6.15,few clouds
81,Sochi,RU,43.6,39.7303,53.69,87,82,2.51,broken clouds
82,Grand Gaube,MU,-20.0064,57.6608,74.37,83,23,3.0,few clouds
83,Boa Vista,BR,2.8197,-60.6733,87.78,58,75,8.05,broken clouds
84,Rawah,IQ,34.4816,41.9093,74.98,23,0,7.47,clear sky
85,Boden,SE,65.8252,21.6886,41.0,76,100,10.49,light rain
86,Leirvik,NO,59.7798,5.5005,55.63,61,100,13.42,overcast clouds
