City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,New Norfolk,AU,-42.7826,147.0587,59.92,51,71,1.99,broken clouds
1,Barrow,US,71.2906,-156.7887,24.82,86,100,3.44,overcast clouds
2,Sinjai,ID,-5.1241,120.253,84.07,79,96,2.59,overcast clouds
3,Nanortalik,GL,60.1432,-45.2371,37.72,79,100,2.26,overcast clouds
4,Zhanaozen,KZ,43.3,52.8,61.63,91,100,4.27,light rain
5,Pangnirtung,CA,66.1451,-65.7125,12.6,71,34,7.43,scattered clouds
6,Butaritari,KI,3.0707,172.7902,82.45,74,14,15.97,few clouds
7,Port Elizabeth,ZA,-33.918,25.5701,56.32,90,55,3.0,broken clouds
8,Hithadhoo,MV,-0.6,73.0833,84.42,75,29,16.53,scattered clouds
9,Airai,TL,-8.9266,125.4092,72.36,65,52,5.46,broken clouds
10,Severo-Kurilsk,RU,50.6789,156.125,50.54,71,99,14.58,overcast clouds
11,Ahipara,NZ,-35.1667,173.1667,66.42,65,18,3.98,few clouds
12,Ponta Do Sol,PT,32.6667,-17.1,63.72,72,80,6.82,broken clouds
13,Puerto Ayora,EC,-0.7393,-90.3518,71.51,93,22,7.81,few clouds
14,Arraial Do Cabo,BR,-22.9661,-42.0278,71.6,80,55,7.36,broken clouds
15,Rikitea,PF,-23.1203,-134.9692,77.43,81,11,17.9,light rain
16,Hamilton,US,39.1834,-84.5333,55.24,80,75,3.44,broken clouds
17,Codrington,AU,-38.2667,141.9667,56.7,70,87,7.9,overcast clouds
18,Sibolga,ID,1.7427,98.7792,84.78,68,100,2.71,overcast clouds
19,Mataura,NZ,-46.1927,168.8643,58.48,96,100,1.74,overcast clouds
20,Tuktoyaktuk,CA,69.4541,-133.0374,32.05,88,93,10.2,overcast clouds
21,Khandbari,NP,27.3747,87.2039,75.31,63,93,1.25,overcast clouds
22,Ayan,RU,56.45,138.1667,41.22,71,30,3.11,scattered clouds
23,Bathsheba,BB,13.2167,-59.5167,79.41,83,40,12.66,scattered clouds
24,Tautira,PF,-17.7333,-149.15,81.01,74,10,0.38,clear sky
25,Marystown,CA,47.1666,-55.1483,33.85,100,3,8.3,clear sky
26,Aykhal,RU,66.0,111.5,31.1,98,100,21.94,snow
27,Ust-Nera,RU,64.5667,143.2,32.81,79,100,7.23,overcast clouds
28,Saskylakh,RU,71.9167,114.0833,15.57,89,67,15.41,broken clouds
29,Owensboro,US,37.7742,-87.1133,57.25,82,0,0.0,clear sky
30,Margate,GB,51.3813,1.3862,49.69,88,0,5.99,clear sky
31,Bansgaon,IN,26.5586,83.3481,96.89,29,1,7.05,clear sky
32,Uyuni,BO,-20.4597,-66.825,46.74,34,56,9.86,broken clouds
33,Ancud,CL,-41.8697,-73.8203,55.58,94,100,25.05,light rain
34,Tasiilaq,GL,65.6145,-37.6368,28.56,71,100,5.26,overcast clouds
35,Pachora,IN,20.6667,75.35,96.85,21,6,8.37,clear sky
36,Ushuaia,AR,-54.8,-68.3,47.86,46,20,12.66,few clouds
37,Mineral Wells,US,32.8085,-98.1128,82.65,69,0,16.11,clear sky
38,Arman,RU,59.7,150.1667,35.76,89,99,4.38,overcast clouds
39,Katsuura,JP,35.1333,140.3,58.39,73,100,14.18,overcast clouds
40,Talnakh,RU,69.4865,88.3972,18.21,87,13,13.38,few clouds
41,Carnarvon,AU,-24.8667,113.6333,82.47,39,96,6.91,overcast clouds
42,Kaitangata,NZ,-46.2817,169.8464,55.44,96,100,2.08,light rain
43,East London,ZA,-33.0153,27.9116,60.98,81,99,12.39,overcast clouds
44,Leningradskiy,RU,69.3833,178.4167,29.35,86,100,7.72,overcast clouds
45,Bluff,NZ,-46.6,168.3333,58.8,92,100,3.2,overcast clouds
46,Saint George,US,37.1041,-113.5841,82.99,9,0,24.16,clear sky
47,Dikson,RU,73.5069,80.5464,12.58,93,91,14.5,overcast clouds
48,Chuy,UY,-33.6971,-53.4616,55.92,87,2,5.46,clear sky
49,Victoria,HK,22.2855,114.1577,82.45,59,82,11.99,broken clouds
50,Polovinnoye,RU,54.7914,65.9864,54.3,31,0,8.66,clear sky
51,Hermanus,ZA,-34.4187,19.2345,57.99,83,96,4.68,overcast clouds
52,Yellowknife,CA,62.456,-114.3525,33.57,96,100,18.01,overcast clouds
53,Avarua,CK,-21.2078,-159.775,80.78,77,36,6.46,scattered clouds
54,Vaini,TO,-21.2,-175.2,77.16,78,40,8.05,scattered clouds
55,Southbridge,US,42.0751,-72.0334,45.66,73,99,4.0,overcast clouds
56,San Cristobal,VE,7.7669,-72.225,73.58,99,98,3.83,overcast clouds
57,Auki,SB,-8.7676,160.7034,84.49,71,34,4.07,scattered clouds
58,Pangkalanbuun,ID,-2.6833,111.6167,91.63,56,99,3.22,overcast clouds
59,Maragogi,BR,-9.0122,-35.2225,76.42,84,99,7.05,overcast clouds
60,Castlegar,CA,49.2998,-117.6689,44.98,98,100,3.67,overcast clouds
61,Dicabisagan,PH,17.0818,122.4157,87.44,62,97,7.09,overcast clouds
62,Busselton,AU,-33.65,115.3333,69.03,61,51,5.99,broken clouds
63,Santa Cruz,BO,-17.8,-63.1667,63.86,82,20,5.75,few clouds
64,Hilo,US,19.7297,-155.09,78.28,89,100,8.05,moderate rain
65,Vestmannaeyjar,IS,63.4427,-20.2734,46.47,90,100,23.38,overcast clouds
66,San Vicente,AR,-26.6167,-54.1333,53.01,97,74,2.51,broken clouds
67,Dingle,PH,10.9995,122.6711,88.92,61,95,16.13,overcast clouds
68,Mahebourg,MU,-20.4081,57.7,79.25,78,40,10.36,scattered clouds
69,Deputatskiy,RU,69.3,139.9,19.92,67,99,4.97,overcast clouds
70,Bredasdorp,ZA,-34.5322,20.0403,53.15,92,34,1.77,scattered clouds
71,Ribeira Grande,PT,38.5167,-28.7,60.84,67,90,2.35,overcast clouds
72,Novyye Burasy,RU,52.1324,46.0714,48.29,50,2,5.57,clear sky
73,Zhigansk,RU,66.7697,123.3711,31.48,95,100,11.81,overcast clouds
74,Albany,US,42.6001,-73.9662,47.44,49,97,1.41,overcast clouds
75,Okahandja,NA,-21.9833,16.9167,46.63,61,0,2.33,clear sky
76,Coquimbo,CL,-29.9533,-71.3436,55.13,100,100,1.14,overcast clouds
77,Matara,LK,5.9485,80.5353,86.65,71,62,14.65,broken clouds
78,Khatanga,RU,71.9667,102.5,17.55,87,99,11.52,overcast clouds
79,Qaanaaq,GL,77.484,-69.3632,15.31,78,99,6.04,overcast clouds
80,Lompoc,US,34.6391,-120.4579,54.93,82,100,11.5,overcast clouds
81,Saint-Philippe,RE,-21.3585,55.7679,76.59,84,44,12.86,light rain
82,Yeppoon,AU,-23.1333,150.7333,71.38,80,100,13.13,light rain
83,Jamestown,US,42.097,-79.2353,46.04,53,0,9.22,clear sky
84,Luderitz,NA,-26.6481,15.1594,52.68,73,0,15.28,clear sky
85,Killin,US,33.6123,-91.7412,62.69,82,0,3.44,clear sky
86,Port Hardy,CA,50.6996,-127.4199,44.6,93,75,5.75,light intensity shower rain
