City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Ushuaia,-54.8,-68.3,47.86,49,20,16.11,AR,2022-05-08 00:34:29
1,Hobyo,5.3505,48.5268,82.31,77,55,18.57,SO,2022-05-08 00:34:29
2,Coquimbo,-29.9533,-71.3436,56.93,88,100,5.75,CL,2022-05-08 00:33:16
3,Airai,-8.9266,125.4092,69.76,68,26,5.26,TL,2022-05-08 00:34:30
4,Kaitangata,-46.2817,169.8464,56.68,91,100,1.81,NZ,2022-05-08 00:34:31
5,Ryotsu,38.0833,138.4333,56.88,48,6,8.1,JP,2022-05-08 00:34:31
6,Energetik,51.7445,58.7934,40.44,43,89,7.99,RU,2022-05-08 00:34:32
7,Longyearbyen,78.2186,15.6401,12.04,52,20,6.91,SJ,2022-05-08 00:30:37
8,Laje,-10.1833,-40.9667,67.66,72,4,4.92,BR,2022-05-08 00:34:32
9,Punta Arenas,-53.15,-70.9167,46.51,66,20,28.77,CL,2022-05-08 00:34:33
10,Port Alfred,-33.5906,26.891,61.61,74,100,12.1,ZA,2022-05-08 00:34:33
11,Saint George,37.1041,-113.5841,90.19,13,0,19.57,US,2022-05-08 00:34:34
12,Faanui,-16.4833,-151.75,82.08,73,15,7.31,PF,2022-05-08 00:34:34
13,Georgetown,5.4112,100.3354,84.13,88,20,6.91,MY,2022-05-08 00:34:35
14,Santa Cruz,-17.8,-63.1667,67.46,73,4,5.75,BO,2022-05-08 00:30:04
15,San Carlos De Bariloche,-41.1456,-71.3082,53.35,62,40,8.05,AR,2022-05-08 00:32:19
16,Bethel,41.3712,-73.414,48.52,67,100,8.05,US,2022-05-08 00:34:22
17,Hutchinson,38.0608,-97.9298,75.15,62,0,18.41,US,2022-05-08 00:34:36
18,Tuatapere,-46.1333,167.6833,59.74,91,100,3.2,NZ,2022-05-08 00:34:36
19,Jamestown,42.097,-79.2353,55.04,40,0,12.66,US,2022-05-08 00:34:37
20,Nayoro,44.3506,142.4578,45.03,80,92,17.81,JP,2022-05-08 00:34:37
21,Sinnamary,5.3833,-52.95,77.65,87,50,8.93,GF,2022-05-08 00:34:38
22,Andenes,69.3143,16.1194,33.78,80,100,19.57,NO,2022-05-08 00:34:38
